software,codevolume,pull_closed_NUMS,pull_merged_NUMS,pull_open_NUMS,pull_closed_duration_MEAN,pull_merged_duration_MEAN,pull_open_duration_MEAN,pull_openratio,pull_mergedratio,pulls_FACTOR,issues_closed_NUMS,issues_open_NUMS,issues_closed_duration_MEAN,issues_open_duration_MEAN,issues_openratio,tags_NUMS,tags_FACTOR,comments_NUMS,comments_FACTOR,branches_NUMS,branches_FACTOR,communityhealth,commits_NUMS,commits_FACTOR,contributors_NUMS,contributors_FACTOR,commits_person_avg,active_contributors_NUMS,active_ratio
elastic_kibana,5.34522469198,1465,7296,128,35.6894197952,4.71559758772,76.625,0.0143998200022,0.820789740128,1662.97967106,15618,3085,43.0407862722,390.140032415,0.164946799979,110,20.5791161904,139,26.0045195497,62,11.5991382164,83,17326,3241.39788286,249,46.58363574,69.5823293173,74,0.29718875502
elastic_logstash,4.66715398069,3213,1577,64,44.6881419234,6.88332276474,226.96875,0.0131850020602,0.324886691389,1040.03425216,8308,1201,60.5864227251,517.845961699,0.126301398675,163,34.9249244132,186,39.8529812322,55,11.7844836977,83,8812,1888.08855171,385,82.4913858838,22.8883116883,23,0.0597402597403
nodejs_node,6.56844755905,11088,1432,137,21.3787878788,9.19134078212,46.0583941606,0.0108240499328,0.113138974481,1926.93933935,19618,736,35.3101233561,226.328804348,0.0361599685565,489,74.4468149595,1122,170.816618373,133,20.2483157252,100,22317,3397.60648149,2011,306.160623484,11.0974639483,229,0.113873694679
spring-projects_spring-boot,5.39349974353,2488,38,46,22.0747588424,2.18421052632,257.695652174,0.0178849144635,0.0147744945568,476.870329527,12572,434,41.6787305122,395.594470046,0.0333692142088,96,17.7992035904,589,109.205530362,9,1.6686753366,100,16674,3091.49917361,452,83.8045835716,36.889380531,70,0.154867256637
spring-projects_spring-security,5.26599872439,369,193,35,84.4308943089,24.8497409326,423.857142857,0.0586264656616,0.323283082077,113.36880832,4467,807,132.285202597,994.6133829,0.153014789534,98,18.6099551347,73,13.8625176003,12,2.27877001649,100,6908,1311.81193949,186,35.3209352556,37.1397849462,22,0.118279569892
apache_zookeeper,5.15941678822,356,0,154,48.6825842697,None,502.155844156,0.301960784314,0.0,98.848381694,356,154,48.6825842697,502.155844156,0.301960784314,83,16.0870895698,20,3.87640712525,11,2.13202391889,50,1645,318.834486052,56,10.8539399507,29.375,16,0.285714285714
apache_jmeter,5.55390243602,370,0,10,20.5378378378,None,315.4,0.0263157894737,0.0,68.4203592659,370,10,20.5378378378,315.4,0.0263157894737,102,18.3654648556,47,8.46251811973,30,5.40160731046,100,15500,2790.83044374,8,1.44042861612,1937.5,4,0.5
kohsuke_jenkins,5.93822242191,31,1,1,21.9032258065,17.0,640.0,0.030303030303,0.030303030303,5.55721858417,32,1,21.78125,640.0,0.030303030303,68,11.4512382947,0,0.0,5,0.842002815783,83,26785,4510.60908415,515,86.7262900257,52.0097087379,56,0.108737864078
apache_groovy,5.51636479554,569,109,14,26.4499121265,6.62385321101,494.071428571,0.0202312138728,0.157514450867,125.444930792,678,14,23.2625368732,494.071428571,0.0202312138728,172,31.1799538963,214,38.7936635687,41,7.43243087063,50,14983,2716.10028621,251,45.5009792324,59.6932270916,14,0.0557768924303
yarnpkg_yarn,3.80427576713,311,1401,38,34.1446945338,4.74803711635,114.526315789,0.0217142857143,0.800571428571,460.008713122,4586,1135,31.8597906672,297.022907489,0.19839188953,122,32.0691788577,56,14.7202788199,43,11.3030712367,100,2036,535.187279953,418,109.876366906,4.87081339713,64,0.153110047847
apache_hive,6.15802336876,197,5,136,74.7512690355,25.8,569.852941176,0.402366863905,0.0147928994083,54.887742342,202,136,73.5396039604,569.852941176,0.402366863905,40,6.4955908097,21,3.41018517509,54,8.76904759309,50,12036,1954.52327464,151,24.5208553066,79.7086092715,51,0.337748344371
cloudera_hue,2.98677173427,92,86,15,34.1630434783,3.97674418605,416.533333333,0.0777202072539,0.445595854922,64.6182625159,565,122,34.996460177,354.778688525,0.177583697234,138,46.2037317471,155,51.895495803,236,79.0150774806,50,14587,4883.86836953,138,46.2037317471,105.702898551,15,0.108695652174
cloudera_Impala,5.66517840203,30,0,21,108.5,None,1287.38095238,0.411764705882,0.0,9.00236433538,30,21,108.5,1287.38095238,0.411764705882,94,16.5925930887,14,2.47123726854,89,15.71000835,50,6954,1227.49885467,98,17.2986608797,70.9591836735,36,0.367346938776
apache_lucene-solr,5.73321813643,159,13,195,39.4528301887,12.6153846154,361.251282051,0.531335149864,0.0354223433243,64.0129140854,172,195,37.4302325581,361.251282051,0.531335149864,241,42.0357283231,42,7.32572858743,94,16.3956782671,33,30020,5236.15171892,74,12.9072360826,405.675675676,35,0.472972972973
apache_spark,6.04268495818,20666,3,536,21.5024194329,9.0,223.65858209,0.0252770572978,0.000141476066965,3509.20164575,20669,536,21.5006531521,223.65858209,0.0252770572978,59,9.76387159157,898,148.609435411,18,2.97880828217,83,21903,3624.71321136,1228,203.220920584,17.8363192182,144,0.117263843648
apache_flume,4.9676649579,132,1,73,60.9393939394,21.0,555.726027397,0.354368932039,0.00485436893204,41.4681750371,133,73,60.6390977444,555.726027397,0.354368932039,22,4.42864005251,7,1.40911274398,19,3.8247345908,66,1745,351.271676892,41,8.25337464331,42.5609756098,4,0.0975609756098
facebook_react-native,5.370011335,6043,591,200,29.4570577528,2.5600676819,119.93,0.0292654375183,0.0864793678665,1272.62301207,18221,786,50.3519565337,138.540712468,0.0413531856684,266,49.5343460947,2467,459.403127126,61,11.3593801195,100,13522,2518.05799959,1663,309.682772765,8.13108839447,185,0.111244738425
celery_celery,4.68341630183,589,774,36,59.2156196944,15.0968992248,549.916666667,0.0257326661901,0.553252323088,298.713569292,4344,353,100.616022099,359.110481586,0.0751543538429,172,36.7253280331,170,36.298289335,43,9.18133200827,83,10571,2257.11303859,631,134.730709238,16.7527733756,45,0.0713153724247
couchbase_couchbase-lite-ios,5.49344410873,110,365,1,36.4090909091,6.0,143.0,0.00210084033613,0.766806722689,86.6487381283,2022,127,35.9139465875,599.559055118,0.059097254537,56,10.1939691916,56,10.1939691916,78,14.1987428025,66,3573,650.411641455,46,8.37361755021,77.6739130435,6,0.130434782609
apache_thrift,5.40665086884,1490,31,26,65.0087248322,36.7741935484,354.653846154,0.0168067226891,0.0200387847447,286.12907279,1521,26,64.4332675871,354.653846154,0.0168067226891,15,2.7743607575,85,15.7213776258,16,2.95931814133,83,5283,977.12985879,213,39.3959227564,24.8028169014,34,0.159624413146
antlr_antlr4,5.52755128259,201,827,48,52.8358208955,9.3446191052,237.5,0.0446096654275,0.768587360595,194.661242382,1924,354,40.6652806653,588.584745763,0.155399473222,37,6.69374160608,79,14.2920428887,4,0.723647741198,83,6865,1241.96043583,138,24.9658470713,49.7463768116,4,0.0289855072464
